Hotel Name,City,Country,Rating,Price,Amenities,Review-1,Review-2,,,,,
Blue Lagoon Khavane,Vengurla,India,5,2202,Daily housekeepingOutdoor ActivitiesParking FacilityRestaurant/Coffee Shop,Excellent location, ,,,,,
Model agro tourism center,Vengurla,India,,2875,Air ConditioningOutdoor ActivitiesParking Facility, , ,,,,,
Blue Lagoon Khavane,Vengurla,India,5,2202,Daily housekeepingOutdoor ActivitiesParking FacilityRestaurant/Coffee Shop,Excellent location, ,,,,,
Model agro tourism center,Vengurla,India,,2875,Air ConditioningOutdoor ActivitiesParking Facility, , ,,,,,
Blue Lagoon Khavane,Vengurla,India,5,2202,Outdoor ActivitiesParking FacilityRestaurant/Coffee Shop,Excellent location, ,,,,,
Blue Lagoon Khavane,Vengurla,India,5,2202,Daily housekeepingOutdoor ActivitiesParking FacilityRestaurant/Coffee Shop,Excellent location, ,,,,,
Model agro tourism center,Vengurla,India,,2875,Air ConditioningOutdoor ActivitiesParking Facility, , ,,,,,
Hotel Kartik residency,Khagaria,India,2.9,1419,Banquet hallCCTV surveillanceConference RoomLaundry Service,Bad . No dinner or breakfast available at hotel . Rooms are dirty,Room not clean,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,1948,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,949,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1272,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,1400,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1152,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,1034,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
RR RESIDENCY,Tiruvannamalai,India,3.5,984,Banquet hallCCTV surveillanceDaily housekeepingFree InternetLaundry ServiceParking FacilityPower backupRestaurant/Coffee Shop,Excellent service. Tasty food. Very near to Bus Stand and Railway Station.,The stay was good. Booked a Non A/C room and still it was comfortable. Haven't used Room service,,,,,
OYO 38559 Ramana Residency,Tiruvannamalai,India,2.8,958,CCTV surveillanceDaily housekeepingDoctor On Call,The hotel Owner is rude to customers and told us to cancel the booking,Worst experience. Full of mosquitoes. Very old hotel. Bathroom not clean. Switch boards broken. Curtain hangers broken.,,,,,
OYO 39387 Ammayii Hotel Resorts,Tiruvannamalai,India,2.6,1331,CCTV surveillanceDaily housekeepingDiningFree InternetPower backup,The resanable tarif and very comfort stay near town,Hotel is very worst,,,,,
Hotel Himalayaa,Tiruvannamalai,India,4.4,2040,Air ConditioningConference RoomDoctor On CallFree InternetLaundry ServiceSpaTravel Assistance,Room were good but not well ventilated. Room service was good and staff was courteous.,Excellent stay. Top food quality. Surprise,,,,,
Black Beach Resort,Varkala,India,3.9,1348,Air ConditioningDaily housekeepingDiningFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,In short,Good ambiance,,,,,
SUNVIEW BEACH RESORT,Varkala,India,3.9,1281,Air ConditioningBanquet hallBonfireBusiness ServicesCCTV surveillanceConference RoomDiningDoctor On Call,The property is like piece of cake. The property is looked few meters from beach. But the beach can view can be enjoyed while you are swimming,excellent place... food was awesome...polite staff.,,,,,
Boho's Hotel,Varkala,India,4.3,1272,Air ConditioningDiningLaundry ServiceRestaurant/Coffee ShopSpa,awesome place with very nice staff!! 5 star for breakfast and location.3 mins walk to the beautiful varkala beach!!,Nice rooms,,,,,
Hindustan Beach Retreat,Varkala,India,4.1,3653,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDoctor On CallFree InternetHealth-Spa,Awesome stay,Neat and clean,,,,,
Savithri Inn Bamboo Cottages and Resorts,Varkala,India,4.2,696,Daily housekeepingFree InternetKitchenLaundry ServiceOutdoor ActivitiesParking FacilityRoom Service,location is good,it was a nice stay. I was told I shall be provided with toiletries,,,,,
Omsam Guest Home,Varkala,India,4,995,Air ConditioningDaily housekeepingInternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom Service,It was a great stay.. Friendly and helping staff.. Good hospitality.. Amazing rooms.. Gives the feel of staying in an antique Palace.. Very near to the beach and the cliff.. Walkable distance.. Would really recommend this 👌,this stay is very nice,,,,,
InDa hotel,Varkala,India,4.1,743,CCTV surveillanceDaily housekeepingDiningFree InternetLaundry ServiceRestaurant/Coffee ShopTravel Assistance,Its a very nice property. The rooms are nice,Ambient,,,,,
Dahlia Beach Resort,Varkala,India,3.9,783,Air ConditioningCCTV surveillanceFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom Service,nice hotel. spacious rooms. excellent hot water. helpful staff. close to cliff top. will definitely recommend.,room was clean and neat. stay was good. food was not available at hotel ,,,,,
Aryavilla heritage,Varkala,India,4.3,855,Daily housekeepingDiningFree InternetIndoor EntertainmentKitchenLaundry ServiceOutdoor ActivitiesParking Facility,Suresh and his staff understand the meaning of hospitality. Between clean accommodations,last time the stay was good,,,,,
Black Beach Resort,Varkala,India,3.9,1399,Air ConditioningDaily housekeepingDiningFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,In short,Good ambiance,,,,,
Boho's Hotel,Varkala,India,4.3,1319,Air ConditioningDiningLaundry ServiceRestaurant/Coffee ShopSpa,awesome place with very nice staff!! 5 star for breakfast and location.3 mins walk to the beautiful varkala beach!!,Nice rooms,,,,,
Savithri Inn Bamboo Cottages and Resorts,Varkala,India,4.2,729,Daily housekeepingFree InternetKitchenLaundry ServiceOutdoor ActivitiesParking FacilityRoom Service,location is good,it was a nice stay. I was told I shall be provided with toiletries,,,,,
Dahlia Beach Resort,Varkala,India,3.9,810,Air ConditioningCCTV surveillanceFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom Service,nice hotel. spacious rooms. excellent hot water. helpful staff. close to cliff top. will definitely recommend.,room was clean and neat. stay was good. food was not available at hotel ,,,,,
InDa hotel,Varkala,India,4.1,769,CCTV surveillanceDaily housekeepingDiningFree InternetLaundry ServiceRestaurant/Coffee ShopTravel Assistance,Its a very nice property. The rooms are nice,Ambient,,,,,
Panchavadi Ayurvedic Beach Resort,Varkala,India,4.1,890,CCTV surveillanceDoctor On CallFree InternetLaundry ServiceOutdoor ActivitiesPower backupRoom ServiceTravel Assistance,good rooms,Nice Location Near by Varkala Beach. Just 2 kms away from Varkala Railway Station and Bus Stand. Transportation good,,,,,
Kudajadri Ayurvedic Resort,Varkala,India,3.8,944,Banquet hallBusiness ServicesConference RoomDiningDoctor On CallIndoor EntertainmentParking FacilityPower backup,Room is good,a decent hotel with ambient facilities ,,,,,
KERALA BAMBOO HOUSE,Varkala,India,3.6,674,Daily housekeepingFree InternetLaundry ServicePower backup,room ambience was average. staff's behaviour was really good. but there were noise and disturbing sound from outside during the night(midnight). so we didn't felt a comfortable stay. roughly we felt it's an insecure place to stay. Not a calm and quiet stay. the roof ,The rooms were not clean and had bugs.,,,,,
Black Beach Resort,Varkala,India,3.9,1399,Air ConditioningDaily housekeepingDiningFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,In short,Good ambiance,,,,,
Boho's Hotel,Varkala,India,4.3,1319,Air ConditioningDiningLaundry ServiceRestaurant/Coffee ShopSpa,awesome place with very nice staff!! 5 star for breakfast and location.3 mins walk to the beautiful varkala beach!!,Nice rooms,,,,,
Hindustan Beach Retreat,Varkala,India,4.1,3731,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDoctor On CallFree InternetHealth-Spa,Awesome stay,Neat and clean,,,,,
Savithri Inn Bamboo Cottages and Resorts,Varkala,India,4.2,729,Daily housekeepingFree InternetKitchenLaundry ServiceOutdoor ActivitiesParking FacilityRoom Service,location is good,it was a nice stay. I was told I shall be provided with toiletries,,,,,
Omsam Guest Home,Varkala,India,4,1029,Air ConditioningDoctor On CallLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom ServiceTravel Assistance,It was a great stay.. Friendly and helping staff.. Good hospitality.. Amazing rooms.. Gives the feel of staying in an antique Palace.. Very near to the beach and the cliff.. Walkable distance.. Would really recommend this 👌,this stay is very nice,,,,,
Dahlia Beach Resort,Varkala,India,3.9,810,Air ConditioningCCTV surveillanceFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom Service,nice hotel. spacious rooms. excellent hot water. helpful staff. close to cliff top. will definitely recommend.,room was clean and neat. stay was good. food was not available at hotel ,,,,,
InDa hotel,Varkala,India,4.1,769,CCTV surveillanceDaily housekeepingDiningFree InternetLaundry ServiceRestaurant/Coffee ShopTravel Assistance,Its a very nice property. The rooms are nice,Ambient,,,,,
Aryavilla heritage,Varkala,India,4.3,902,DiningFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesParking FacilityRoom ServiceSpa,Suresh and his staff understand the meaning of hospitality. Between clean accommodations,last time the stay was good,,,,,
Nikhil Gardens,Varkala,India,4,2850,Air ConditioningBonfireFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesSpaTravel Assistance,really nice place., ,,,,,
Panchavadi Ayurvedic Beach Resort,Varkala,India,4.1,890,CCTV surveillanceDoctor On CallFree InternetLaundry ServiceOutdoor ActivitiesPower backupRoom ServiceTravel Assistance,good rooms,Nice Location Near by Varkala Beach. Just 2 kms away from Varkala Railway Station and Bus Stand. Transportation good,,,,,
Black Beach Resort,Varkala,India,3.9,1399,Air ConditioningDaily housekeepingDiningFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,In short,Good ambiance,,,,,
SUNVIEW BEACH RESORT,Varkala,India,3.9,1329,Air ConditioningBanquet hallBonfireBusiness ServicesCCTV surveillanceConference RoomDiningDoctor On Call,The property is like piece of cake. The property is looked few meters from beach. But the beach can view can be enjoyed while you are swimming,excellent place... food was awesome...polite staff.,,,,,
Boho's Hotel,Varkala,India,4.3,1319,Air ConditioningDiningLaundry ServiceRestaurant/Coffee ShopSpa,awesome place with very nice staff!! 5 star for breakfast and location.3 mins walk to the beautiful varkala beach!!,Nice rooms,,,,,
Hindustan Beach Retreat,Varkala,India,4.1,3731,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDoctor On CallFree InternetHealth-Spa,Awesome stay,Neat and clean,,,,,
Savithri Inn Bamboo Cottages and Resorts,Varkala,India,4.2,729,Daily housekeepingFree InternetKitchenLaundry ServiceOutdoor ActivitiesParking FacilityRoom Service,location is good,it was a nice stay. I was told I shall be provided with toiletries,,,,,
Omsam Guest Home,Varkala,India,4,1029,Air ConditioningDoctor On CallLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom ServiceTravel Assistance,It was a great stay.. Friendly and helping staff.. Good hospitality.. Amazing rooms.. Gives the feel of staying in an antique Palace.. Very near to the beach and the cliff.. Walkable distance.. Would really recommend this 👌,this stay is very nice,,,,,
Dahlia Beach Resort,Varkala,India,3.9,810,Air ConditioningCCTV surveillanceFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom Service,nice hotel. spacious rooms. excellent hot water. helpful staff. close to cliff top. will definitely recommend.,room was clean and neat. stay was good. food was not available at hotel ,,,,,
InDa hotel,Varkala,India,4.1,769,CCTV surveillanceDaily housekeepingDiningFree InternetLaundry ServiceRestaurant/Coffee ShopTravel Assistance,Its a very nice property. The rooms are nice,Ambient,,,,,
Aryavilla heritage,Varkala,India,4.3,902,DiningFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesParking FacilityRoom ServiceSpa,Suresh and his staff understand the meaning of hospitality. Between clean accommodations,last time the stay was good,,,,,
Black Beach Resort,Varkala,India,3.9,1399,Air ConditioningDaily housekeepingDiningFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,In short,Good ambiance,,,,,
SUNVIEW BEACH RESORT,Varkala,India,3.9,1329,Air ConditioningBanquet hallBonfireBusiness ServicesCCTV surveillanceConference RoomDiningDoctor On Call,The property is like piece of cake. The property is looked few meters from beach. But the beach can view can be enjoyed while you are swimming,excellent place... food was awesome...polite staff.,,,,,
Savithri Inn Bamboo Cottages and Resorts,Varkala,India,4.2,729,Daily housekeepingFree InternetKitchenLaundry ServiceOutdoor ActivitiesParking FacilityRoom Service,location is good,it was a nice stay. I was told I shall be provided with toiletries,,,,,
Dahlia Beach Resort,Varkala,India,3.9,810,Air ConditioningCCTV surveillanceFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom Service,nice hotel. spacious rooms. excellent hot water. helpful staff. close to cliff top. will definitely recommend.,room was clean and neat. stay was good. food was not available at hotel ,,,,,
Panchavadi Ayurvedic Beach Resort,Varkala,India,4.1,890,CCTV surveillanceDoctor On CallFree InternetLaundry ServiceOutdoor ActivitiesPower backupRoom ServiceTravel Assistance,good rooms,Nice Location Near by Varkala Beach. Just 2 kms away from Varkala Railway Station and Bus Stand. Transportation good,,,,,
Thanal Beach Resort,Varkala,India,3.2,3625,Air ConditioningCCTV surveillanceDaily housekeepingInternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,Very inconvenient as the check in is already late than other places at 2pm and we finally got to the room at 3Pm.,I had a pleasant stay at thanal . Location wise it’s good . Other than that it’s just a regular stay no additional facilities. They didn’t provide the breakfast and not even coffee or teabags in our room. The booking was for their premium rooms .,,,,,
VarkalaFit by Ashoka,Varkala,India,4.5,1415,Air ConditioningCCTV surveillanceDiningDoctor On CallFree InternetHealth-SpaLaundry ServiceOutdoor Activities, , ,,,,,
Royal Kazbay Beach Resorts,Varkala,India,,1447,Air ConditioningCCTV surveillanceDiningParking FacilityPower backupRestaurant/Coffee ShopRoom ServiceSpa, , ,,,,,
0RGANIC VILLA,Varkala,India,2.4,454,Free InternetOutdoor ActivitiesParking FacilityRoom ServiceSmoking Rooms Available,The worst ever hotel i saw in my entire journey,low cost good hotel,,,,,
Omsam Guest Home,Varkala,India,4,1029,Air ConditioningDoctor On CallLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom ServiceTravel Assistance,It was a great stay.. Friendly and helping staff.. Good hospitality.. Amazing rooms.. Gives the feel of staying in an antique Palace.. Very near to the beach and the cliff.. Walkable distance.. Would really recommend this 👌,this stay is very nice,,,,,
Aryavilla heritage,Varkala,India,4.3,902,DiningFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesParking FacilityRoom ServiceSpa,Suresh and his staff understand the meaning of hospitality. Between clean accommodations,last time the stay was good,,,,,
Nikhil Gardens,Varkala,India,4,2850,Air ConditioningBonfireFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesSpaTravel Assistance,really nice place., ,,,,,
Sopanam Beach Homestay,Varkala,India,,2040,Daily housekeeping, , ,,,,,
Casa Mia Hostel,Varkala,India,2.8,295,Free InternetLaundry ServiceOutdoor ActivitiesPower backupRoom Service,this hostel is very nice. near to beach. I really recommend everyone to this hostel. great location. near to beach.,Very poor services. I have booked two rooms but I got only one room. We all were five people and we had to adjust in that one room only.,,,,,
Surfers Hostel,Varkala,India,,2485,Air ConditioningInternetParking FacilityPower backupRoom Service, , ,,,,,
Black Beach Resort,Varkala,India,3.9,1399,Air ConditioningDaily housekeepingDiningFree InternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,In short,Good ambiance,,,,,
Boho's Hotel,Varkala,India,4.3,1319,Air ConditioningDiningLaundry ServiceRestaurant/Coffee ShopSpa,awesome place with very nice staff!! 5 star for breakfast and location.3 mins walk to the beautiful varkala beach!!,Nice rooms,,,,,
Hindustan Beach Retreat,Varkala,India,4.1,3731,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDoctor On CallFree InternetHealth-Spa,Awesome stay,Neat and clean,,,,,
Omsam Guest Home,Varkala,India,4,1029,Air ConditioningDoctor On CallLaundry ServiceOutdoor ActivitiesParking FacilityPower backupRoom ServiceTravel Assistance,It was a great stay.. Friendly and helping staff.. Good hospitality.. Amazing rooms.. Gives the feel of staying in an antique Palace.. Very near to the beach and the cliff.. Walkable distance.. Would really recommend this 👌,this stay is very nice,,,,,
InDa hotel,Varkala,India,4.1,769,CCTV surveillanceDaily housekeepingDiningFree InternetLaundry ServiceRestaurant/Coffee ShopTravel Assistance,Its a very nice property. The rooms are nice,Ambient,,,,,
VarkalaFit by Ashoka,Varkala,India,4.5,1415,Air ConditioningCCTV surveillanceDiningDoctor On CallFree InternetHealth-SpaLaundry ServiceOutdoor Activities, , ,,,,,
Kudajadri Ayurvedic Resort,Varkala,India,3.8,944,Banquet hallBusiness ServicesConference RoomDiningDoctor On CallIndoor EntertainmentParking FacilityPower backup,Room is good,a decent hotel with ambient facilities ,,,,,
Thanal Beach Resort,Varkala,India,3.2,3625,Air ConditioningCCTV surveillanceDaily housekeepingInternetLaundry ServiceOutdoor ActivitiesParking FacilityPower backup,Very inconvenient as the check in is already late than other places at 2pm and we finally got to the room at 3Pm.,I had a pleasant stay at thanal . Location wise it’s good . Other than that it’s just a regular stay no additional facilities. They didn’t provide the breakfast and not even coffee or teabags in our room. The booking was for their premium rooms .,,,,,
SPOT ON 73862 Jaya Tourist Home,Varkala,India,,695,Indoor EntertainmentParking FacilityPower backupRoom Service, , ,,,,,
SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort),Varkala,India,,659,, , ,,,,,
SUNVIEW BEACH RESORT,Pool,India,3.9,1292,Air ConditioningBanquet hallBonfireBusiness ServicesCCTV surveillanceConference RoomDiningDoctor On Call,The property is like piece of cake. The property is looked few meters from beach. But the beach can view can be enjoyed while you are swimming,excellent place... food was awesome...polite staff.,,,,,
Hindustan Beach Retreat,Pool,India,4.1,3687,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDoctor On CallFree InternetHealth-Spa,Awesome stay,Neat and clean,,,,,
Kudajadri Ayurvedic Resort,Pool,India,3.8,919,Banquet hallBusiness ServicesConference RoomDiningDoctor On CallIndoor EntertainmentParking FacilityPower backup,Room is good,a decent hotel with ambient facilities ,,,,,
Satta Beach Deluxe,Pool,India,3,1835,Air ConditioningFree InternetLaundry ServiceRoom ServiceSwimming Pool,Please confirm if the rooms have AC before booking. We booked a standard room thinking it was air conditioned for more than 2k but it wasnt. Wasnt a very pleasant stay as the bathroom wasnt very neat, ,,,,,
Satta Beach Residence,Pool,India,,1286,CCTV surveillanceDaily housekeepingDiningFree InternetKitchenLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Kudajadri Ayurvedic Resort,Varkala,India,3.8,944,Banquet hallBusiness ServicesConference RoomDiningDoctor On CallIndoor EntertainmentParking FacilityPower backup,Room is good,a decent hotel with ambient facilities ,,,,,
